batch_number,mc_no,date,shift,design,debossed,rm,mb_code,mc_speed,issued_by
2505360,CCM-16,16-09-2025,A,S27LW,PLAIN,MB5569,PE94407025,1700,HELENA
2505359,CCM-09/10,16-09-2025,C,S-1881-CSD001,CAMPA,MB6562,N/A,1700,MONIKA
2505358,CCM15,16-09-2025,B,S-1881-CSD-001-R-01,COCA COLA,MB6562,PL43407114,500/500,NAOCHA
2505357,CCM-16,16-09-2025,A,PS24-WF-001,FROOTI,MB6562,PE04407082,1150,DHANANJAY
2505355,CCM-15,16-09-2025,B,S-1881-CSD-001-R-01,COCA COLA,MB-6562,51860,500,JAVEED                        BLUE PLAIN TO ORANGE PLAIN
2505354,CCM-16,16-09-2025,B,S27LW,PLAIN,MB6562,PE33407289,1150,DHANANJAY
2505353,CCM-12,16-09-2025,B,A-1881-CSD-006,PLAIN,M5005L,26113,1700,JAVEED
2505351,CCM-12,16-09-2025,A,A-1881-CSD-006,PLAIN,MB6561,PE04407082,1200/500,MONIKA
2505350,CCM-16,16-09-2025,C,S27LW,PLAIN,MB6562,PL53407100,500,MONIKA
2506349,CCM-14,16-09-2025,b,S27LW,BISLERI,M5005L,26064,1700,DHANANJAY
2505349,CCM-14,16-09-2025,b,S27LW,BISLERI,M5005L,GR1738,1700,javeed
2505348,CCM-01,16-09-2025,A,S29W1,KINLEY,M5005L,GR1738,1700,javeed
2505347,CCM-12,16-09-2025,A,A-1881-CSD-006,PLAIN,ACP533H1,PE53407419,1700,NAOCHA
2505346,CCM-14,16-09-2025,B,S27LW,CLEAR,MB6562,PE04407082,500,NAOCHA
2505345,CCM 16,16-09-2025,B,P-S27W-2,BAILLEY,M5005L,PW70SCB,1700,JAVEED
2505344,ccm-09/10,16-09-2025,a,S-1881-SCD-001,PLAIN,M5005L,7692,1700,JAVEED
2505343,CCM-12,16-09-2025,C,A-1881-CSD-006,PLAIN,MB6562,PE94407025,500,DHANANJAY
2505342,CCM-03,16-09-2025,A,S2622CSD 30.37,DAILEE,MB6562,51202,500,DHANANJAY
2505341,CCM-14,16-09-2025,A,S27LW,OXY COOL,MB6562,PL63407198,1450,NAOCHA
2505340,CCM-02,16-09-2025,A,S2622CSD 30.37,DAILEE,M5005L,PW70SCB,1700,NAOCHA
2505339,CCM-07/08,16-09-2025,B,AB-1881-HF,MAAZA,MB6562,23010,1450,NAOCHA
2505338,CCM-12,16-09-2025,A,A-1881-CSD-006,PLAIN,MB6561,PE33407289,500,MONIKA
2505337,CCM-12,16-09-2025,A,A-1881-CSD-006,PLAIN,MB6562,23010,500,NAOCHA
2505336,CCM-03,16-09-2025,C,S2622CSD 30.37,PLAIN,MB6562,PE3340PE33407026,500,NAOCHA
2505335,CCM-15,16-09-2025,C,S-1881-CSD-001 R-01,COCA COLA,MB6562,PL63407198,1450,JAVEED
2505334,CCM-14,16-09-2025,B,S27LW,OXY COOL,MB6562,PE04407082,1150,JAVEED
2505333,CCM-09/10,16-09-2025,A,S-1881-CSD-001,PLAIN,M5005L,51196,1700,RAMESHWORY
2505332,CCM-15,16-09-2025,B,S-1881-CSD-001,PLAIN,MB6562,23010,500,JAYANTI
2505331,CCM-03,16-09-2025,B,S2622CSD 30.37,PLAIN,MB56562,51860,1550,RAMESHWORY
